ID;PudoPagar;Estudiante;Ingresos;Cuenta
149;0;Si;775029;5891222
150;0;No;4395606;3657663
151;0;No;4445520;1750444
152;0;No;3690178;2094242
153;0;No;3939354;2666147
154;0;No;3235939;476485
155;0;Si;1593300;7265030
156;0;No;3940474;1763222
157;0;Si;1410799;3681195
158;0;No;4122463;6532423
159;0;No;4519479;5745728
160;0;No;5767928;3516134
161;0;Si;1886431;6804002
162;0;No;5328735;157225
163;0;No;4857036;4941072
164;0;No;2392755;1800095
165;0;No;3322628;3237418
166;0;Si;981679;0
167;0;No;3197462;2226209
168;0;Si;1749674;4392710
169;0;Si;2175987;1679171
170;0;No;3043847;3333044
171;0;No;4073746;4069383
172;0;No;5460718;4181500
173;0;No;3305511;4837413
174;1;Si;1427149;11028998
175;0;Si;1167222;6290926
176;0;No;4010717;6199008
177;0;Si;1376030;0
178;0;Si;2247338;4639439
179;0;Si;2129910;6950154
180;0;No;5347121;2052489
181;0;No;3068174;365383
182;0;No;4530310;3952989
183;0;No;3257990;3947475
184;0;No;4631924;3956802
185;0;No;3725588;2395212
186;0;No;2889979;4443066
187;0;No;4283195;6421932
188;0;Si;2334195;3561382
189;0;Si;1840805;6453101
190;0;No;4428093;631813
191;0;No;6115889;3896881
192;0;No;4947676;3487455
193;0;No;4361003;3034873
194;0;Si;2141142;9014517
195;0;No;4127656;4500427
196;0;No;3344098;4831401
197;0;No;3568911;3355307
198;0;No;2350599;857796
199;0;No;4526061;7412402
200;0;No;4646457;3203314
201;0;Si;1807835;3530805
202;1;Si;2035951;8873471
203;0;No;2576841;4582497
204;0;No;3605350;6356354
205;0;No;4733911;552865
206;0;No;3781929;8736294
207;1;No;4895617;9447996
208;0;No;2105184;136007
209;0;No;3515985;3731149
210;1;Si;2065520;9496953
211;0;Si;2039153;4069973
212;0;No;3889916;2497289
213;0;No;3627245;4265807
214;0;No;3206434;2373637
215;0;No;3583878;6179381
216;0;No;4421377;3103376
217;0;No;3788003;1100143
218;0;Si;1807408;6524571
219;0;Si;2235805;8040763
220;0;No;3765706;1282356
221;0;Si;1922498;5768025
222;0;No;3117009;3859479
223;0;Si;1706404;5498152
224;0;No;4035713;3914415
225;0;No;3592434;2221325
226;0;No;2478096;2520142
227;0;No;4212466;8812517
228;0;Si;1861899;4250481
229;0;No;4078506;7061194
230;0;No;4748257;3577484
231;0;No;5571304;6817643
232;0;No;4249520;2466209
233;0;No;3337513;6773763
234;0;Si;1541627;2856470
235;0;No;4408671;4780757
236;0;No;3439075;4824101
237;0;No;5051316;2763172
238;0;No;3776724;1691331
239;0;No;4404163;3545617
240;0;No;5783905;4894891
241;0;No;1570271;1855051
242;1;Si;1493018;7864282
243;0;No;4015022;0
244;1;No;3905459;9822384
245;0;No;3360565;2740189
246;0;No;3404501;6285276
247;0;No;3801689;5949590
248;0;No;3937358;3438419
249;0;No;3989951;4228495
250;0;Si;1967635;4788424
251;0;No;4332611;1167584
252;0;Si;1429826;5634744
253;0;Si;1515949;2444276
254;0;No;4432358;3839518
255;0;No;3138851;2809629
256;0;Si;1745460;5461350
258;0;Si;1362540;9195718
259;0;Si;2247457;4380004
260;0;No;3035703;2770539
261;0;No;4394504;4456589
262;0;No;2732490;2324182
263;0;Si;2408204;2817713
264;1;No;3000382;7651766
265;0;No;4169025;4952835
266;0;No;4276920;2951999
267;0;Si;2115351;3575821
268;0;No;4185208;7701889
269;0;No;4163968;6216633
270;0;Si;2090970;1176642
271;0;No;4939434;2641272
272;0;No;3073120;2961269
273;0;No;4268319;3526025
274;0;No;4819578;2282578
275;0;Si;1805211;2353588
276;0;Si;1060041;7515376
277;0;No;4421792;6814828
278;0;No;4503285;4543858
279;0;Si;1614806;5484101
280;0;No;4783509;1846110
281;0;No;5025629;3366999
282;0;No;5117314;5192500
283;0;No;2876292;0
284;0;No;3243112;2635970
285;0;No;3297443;4087347
286;0;Si;1970229;7745214
287;0;Si;1185395;2833569
288;0;No;2493592;7480282
289;0;No;4284483;4313283
290;0;No;3126364;6295747
291;0;No;4351005;5125194
292;0;Si;1479374;3516389
293;0;Si;1517536;5411957
294;0;No;4405492;4552245
295;0;Si;1699566;4982719
296;0;No;5851432;1768891
297;0;Si;1330030;3913554
298;0;No;5105687;8582977
299;0;Si;1515397;2514493
300;0;No;5920397;5167342
301;0;No;3492537;0
302;0;Si;1926377;5435417
303;0;No;4389976;5236221
304;0;No;3836787;5284637
305;0;Si;2601089;4896122
306;0;Si;1597863;4239094
307;0;No;5095879;3908856
308;0;Si;1590406;2012444
309;0;No;1753429;1023701
310;0;Si;1833674;10113373
311;0;No;4418662;3744685
312;0;No;3591749;4191378
313;0;No;4469403;1930080
314;0;No;4962310;4061996
315;0;Si;698514;9049633
316;0;No;3036055;0
317;0;Si;2468847;6640919
318;0;Si;2671669;7324680
319;0;No;3971869;6002826
320;0;No;2785658;4948432
321;0;No;3553927;4353673
322;0;Si;1984983;6004237
323;0;Si;2320468;7144160
324;0;No;3395129;0
325;0;Si;2178327;1797294
326;0;No;4086275;1328420
327;0;No;4440684;5138853
328;0;No;3504213;3645237
329;0;No;2586715;5214025
330;0;No;3787561;1151153
331;0;No;3061127;1837330
332;0;Si;2086380;3688527
333;0;No;3034946;91306
334;0;No;3083477;6288801
335;0;No;4090740;2277608
336;0;No;3545848;284838
337;0;Si;1221304;3619660
338;0;No;4137977;3061916
339;0;Si;1530813;6100888
340;0;No;3236337;6111738
341;0;No;4768422;5827456
342;1;No;4685695;8214100
343;0;No;5608868;4720868
344;0;No;4142394;3748040
345;0;No;3123101;1851876
346;1;No;4213337;9958246
347;0;No;4456234;3869576
348;0;Si;2048089;4086249
349;0;No;5026046;5303581
350;1;No;5627351;7752246
351;0;Si;1509244;2272335
352;0;Si;1778456;6281197
353;0;No;3673131;7421977
354;0;Si;1266161;5252387
355;0;No;4543047;4932003
356;0;No;4426638;3586710
357;0;No;4703809;3460716
358;1;No;3471006;6644464
359;0;No;3293007;3367341
360;0;No;4899140;1093196
361;0;No;4395428;6090835
362;0;Si;1932255;67584
363;0;Si;2172656;2657393
364;0;No;3343646;827691
365;0;Si;2589050;6759249
366;0;No;5414396;536410
367;0;No;3560412;4735968
368;0;Si;1481265;2172801
369;0;No;3745888;5100336
370;0;No;3159790;3311527
371;0;Si;2076768;3772103
372;0;No;4441290;1447448
373;0;No;3627094;990192
374;0;Si;1661502;2580302
375;0;No;4175540;3487819
376;0;Si;1694742;2511624
377;0;Si;1557542;7298435
378;0;No;3441826;3584994
379;0;Si;1832403;5189864
380;0;No;2973596;3365081
381;0;No;4109977;1859609
382;0;No;5560461;445675
383;0;No;4089528;6366401
384;0;No;1868052;3003617
385;0;No;4071180;4525191
386;0;No;5443701;5307208
387;0;No;4633479;8363196
388;0;Si;1975009;4418513
389;0;No;5393624;1868902
390;0;No;5238266;6438976
391;0;No;4873993;6148713
392;0;Si;2245705;2553069
393;0;No;2720586;3878151
394;0;No;5020658;5764914
395;0;Si;798600;6518313
396;0;No;2824450;8376394
397;0;No;3000180;1991389
398;0;Si;2502387;3699509
399;0;No;3201871;1132088
400;0;No;2517362;6086609
401;0;No;2990200;3199103
402;0;Si;1271749;4415835
403;0;No;3818652;11438
404;0;No;5596799;2098187
405;0;Si;1110253;7720701
406;0;No;3215301;5505075
407;1;No;3048898;8503000
408;0;No;4830106;1559123
409;0;No;5507413;2214151
410;0;No;1790958;3644075
411;0;No;3718867;1394390
412;0;No;3662599;3793512
413;0;No;2280374;3101698
414;0;Si;1840246;9450837
415;0;No;2895145;0
416;0;Si;2318402;6645994
417;0;No;4412863;5379319
418;0;No;5495699;3092638
419;0;No;2746689;5555433
420;0;No;4588193;4320199
421;0;No;4851246;4476149
422;0;Si;2190853;4770152
423;0;No;4681352;4738175
424;0;No;2311793;1336519
425;0;Si;2391321;6834029
426;0;No;3832517;3123659
427;0;No;2522164;68397
428;0;No;4477802;3929332
429;0;Si;1893350;6765469
430;0;No;2555326;2401606
431;0;No;2950731;0
432;0;Si;1791686;6109856
433;0;Si;2510876;5924683
434;0;Si;2751234;2392860
435;0;No;3478610;1108452
436;0;No;4105414;2891938
437;0;Si;1957696;6807292
438;0;Si;1973196;4889240
439;0;No;3688744;5922126
440;1;Si;2184844;5593505
441;1;No;3722457;5595486
442;0;No;3132948;3881750
443;0;No;5179240;6611485
444;0;No;2743859;4390132
445;0;No;1692118;6341898
446;0;No;3261137;0
447;0;No;3726257;0
448;0;Si;2583306;1833935
449;0;No;3989877;3737805
450;0;No;3749909;8936426
451;0;Si;1499549;9647235
452;0;No;2796132;4935714
453;0;Si;2075821;4281787
454;0;No;1815384;5505749
455;0;No;3151598;3520923
456;0;No;4083773;2778117
457;0;No;4476411;5367491
458;0;No;3284265;5631115
459;0;Si;1570830;3248867
460;0;No;4374350;4888288
461;0;No;4263751;5249450
462;0;Si;1576435;6917832
463;0;Si;1406517;5477329
464;0;No;3022460;5446859
465;0;No;2179232;3026105
466;0;No;4926205;5169427
467;0;No;3818699;8023603
468;0;No;2467972;4131635
469;0;Si;1667068;5880734
470;0;Si;1993710;6375116
471;0;Si;2353894;6451416
472;0;No;5141450;5667371
473;0;No;3740049;4187063
474;0;Si;1828037;1895411
475;0;Si;1245336;5670831
476;0;No;3912008;0
477;0;No;5939438;7455874
478;0;Si;958294;8476798
479;0;No;5458924;3527867
480;0;No;3374323;1195967
481;0;Si;1242861;5918553
482;0;No;3826708;4493809
483;0;Si;1171959;7621452
484;0;No;3511502;3885119
485;0;No;2607493;6973979
486;0;Si;2047616;0
487;0;No;4794677;312858
488;1;No;2812790;9907259
489;0;No;5005326;2570270
490;0;No;5371419;3613940
491;0;No;3371686;764332
492;0;No;3539029;1465924
493;0;No;3861362;0
494;0;Si;1787836;3226834
495;0;Si;2604677;7575764
496;0;Si;1884649;3837198
497;0;Si;2171523;2459399
498;0;No;4138944;0
499;0;No;3458949;0
500;0;No;4013266;2545776
500;0;Si;1644010;4827937
500;0;Si;2048960;9342700
503;0;No;4180378;2017486
504;0;No;3767094;2965718
505;0;No;4454787;0
506;0;No;3936719;3711450
507;0;Si;1301361;5550502
509;0;No;4249275;3121694
510;0;Si;2288495;2499786
511;0;No;6065004;5443188
512;0;No;4966967;7782460
513;0;Si;2355868;3985422
514;0;No;3821568;2079963
515;0;Si;2683304;2691163
516;0;Si;2108608;5909674
517;0;Si;927179;4180103
518;0;No;4692801;522216
519;0;No;5319662;2821047
520;0;Si;2509146;4022697
521;0;No;2121830;5144768
522;0;No;898386;3743733
523;0;No;2873597;333160
524;0;No;4803424;2264011
525;0;Si;2772407;3992303
526;0;Si;2346713;9709515
527;0;No;2299643;7230505
528;0;No;6158003;3805320
529;0;No;4314746;6750864
530;0;No;3694336;1904751
531;0;Si;1590647;8014248
532;0;No;3758856;738051
533;0;No;3628308;0
534;0;Si;1881817;3665363
535;0;Si;2609634;5413740
536;0;No;4080448;3898287
537;0;No;6525408;4970794
538;0;No;5007078;3845907
539;0;Si;498517;3420493
540;0;No;2789847;2212817
541;1;No;3840889;8585358
542;0;No;3630253;0
543;0;No;4471701;5461729
544;0;No;3514680;2486675
545;0;Si;1690770;5748403
546;1;No;5869998;7326051
547;0;No;4178961;2826588
548;0;Si;1222419;4610689
549;0;Si;1151006;877997
550;0;No;4967556;5124734
551;0;No;5409162;2984427
552;0;No;5308491;3752052
553;0;Si;1418397;3954350
554;0;No;4238605;561639
555;0;Si;1609328;3691972
556;0;No;5441981;5789278
557;0;No;4514952;6066216
558;0;No;4165600;6698131
559;0;No;5652096;2941562
560;0;No;5637572;3609041
561;0;No;4384347;3404104
562;0;Si;1207176;4077033
563;0;No;3717011;5212536
564;0;Si;2045462;3316249
565;0;Si;1802647;7393093
566;0;No;3365557;1688784
567;0;Si;2312664;6367754
568;0;No;4956299;570899
569;0;No;5229560;0
570;0;Si;2637759;7581588
571;0;Si;2416475;4490573
572;0;No;4821959;3952953
573;0;No;2907272;0
574;0;No;4913647;6366224
575;0;No;3606311;6396002
576;0;Si;1456875;3663597
577;1;No;4622707;8817895
578;0;Si;1631091;6402092
579;0;No;3691290;7649690
580;0;Si;1825149;1727338
581;0;No;3372399;989947
582;1;Si;1597554;8854847
583;0;Si;1703705;3196860
584;0;No;2352671;1194073
585;0;No;4533836;1952779
586;0;Si;1947659;4150858
587;0;Si;2161358;6894380
588;0;No;3736442;1212017
589;0;No;3621149;6182737
590;0;No;3491428;5318875
591;0;No;3381914;634616
592;0;No;3801815;3792328
593;0;No;6875888;4544657
594;0;No;4629743;2792592
595;0;No;3696955;9096212
596;0;Si;1932758;5553409
597;0;No;4345901;3616217
598;0;No;1851095;4860159
599;0;No;4074142;3480072
600;0;Si;2936260;5891245
601;0;Si;1937181;1647793
602;0;Si;1454630;3962646
603;0;No;3369172;6230189
604;0;No;4167026;2958804
605;0;No;2485425;1220406
606;0;No;4994487;5192742
607;0;No;4948856;3395373
608;0;No;4058522;5307079
609;0;Si;1191458;6341203
610;0;Si;1473672;4777668
611;0;No;2788281;5579103
612;0;Si;2202919;3005816
613;0;No;5228643;5488000
614;0;No;4598297;5213915
615;0;Si;862411;6607215
616;0;No;3763766;5261966
617;0;No;2760408;3439759
618;0;Si;2482827;2832303
619;0;No;3507117;3847071
620;0;No;2637299;4775677
621;0;No;2866014;3217048
622;0;No;4274530;0
623;0;No;4538405;2188180
624;0;No;3467317;6394328
625;0;No;3062478;8196953
626;0;No;3647083;4458219
627;0;Si;1881394;1582295
628;0;No;4887456;3114648
629;0;No;4228730;536388
630;0;Si;1239849;4952716
631;0;No;4566000;0
632;0;No;3311996;0
633;0;No;3528782;2956092
634;0;Si;2112184;4640300
635;0;No;4078599;1522996
636;0;No;3133651;1179697
637;0;Si;1085323;5540268
638;0;No;2456376;3436532
639;0;No;3986486;300930
640;0;No;3464897;0
641;0;No;5873057;1364466
642;1;No;4393040;7658582
643;0;No;4770257;4748043
644;0;No;3508058;2809581
645;0;No;2523135;2340663
646;0;Si;1221595;4965541
647;0;No;3131470;0
648;0;Si;1271072;3797392
649;0;No;3644023;6703936
650;0;Si;1521047;7607317
651;0;No;3045702;668717
652;1;No;5165687;3900863
653;0;No;2288479;4199577
654;0;No;3667085;4567529
655;0;No;3571264;4624407
656;0;No;5465231;5989158
657;0;No;3045115;246048
658;0;No;4838765;4853580
659;0;No;5408242;3915287
660;0;Si;2037906;2325314
661;0;No;3933775;0
662;0;Si;2198605;3661321
663;0;No;3767970;2880456
664;0;Si;1630988;2944955
665;0;No;4377948;4315704
666;0;No;4967537;4287879
667;0;No;3367489;1807509
668;0;No;3602309;4455777
669;0;No;4473856;4590611
670;0;No;2115086;6675140
671;0;No;3987352;2107004
672;0;Si;1888397;3718181
673;0;No;4187249;3868702
674;0;No;4525188;3656967
675;0;No;3633039;4820945
676;0;Si;1765717;1750076
677;0;No;3712559;6033307
678;0;No;5288819;5259738
679;0;No;4557217;2273802
680;0;No;4275860;4663327
681;0;No;3625946;2678729
682;0;No;4118618;1209026
683;0;No;4204217;5132534
684;0;Si;1827883;938399
685;0;No;5864693;987692
686;0;No;4328840;2928540
687;0;Si;1214705;9735112
688;0;No;3971754;4147738
689;0;No;3548845;984692
690;0;No;3143878;2959318
691;0;No;3974211;0
692;0;Si;1193930;5041458
693;0;Si;1741075;5261137
694;0;No;4975617;1658403
695;0;No;2941465;4565536
696;0;Si;2174726;2806958
697;0;No;4769289;1234777
698;0;No;4630472;2894893
699;0;No;6235285;2789044
700;0;Si;1041818;3941259
701;0;No;3917406;5304037
702;0;Si;1981672;6239535
703;0;No;3425999;5921804
704;0;No;3307155;5122891
705;0;No;4336790;5401458
706;0;No;2626716;2701395
707;0;No;3383574;7244177
708;0;Si;2742111;2805970
709;0;No;3004057;5957402
710;0;No;3820258;2825695
711;0;No;3584519;2414911
712;0;No;3748625;4751750
713;0;Si;2123536;1753515
714;1;Si;1902751;7755117
715;0;No;3774791;4907981
716;0;No;1092162;7210649
717;0;No;5660725;5301679
718;0;No;6179435;5774454
719;0;Si;2005683;2720699
720;0;No;2758893;5685877
721;0;No;4781142;2070420
722;0;Si;1750445;2180042
723;0;No;2580998;4939074
724;0;No;4660355;3396959
725;0;No;5163333;6888860
726;0;No;3243713;4284060
727;0;No;4492380;5183384
728;0;No;4682680;0
729;0;No;5193676;4807360
730;0;No;3562283;1379940
731;0;No;3076934;2133468
732;0;No;4621416;1451260
733;0;No;4232575;4674849
734;0;Si;2634205;3344956
735;0;Si;2713654;10023638
736;0;No;2993826;6564329
737;0;Si;1509205;3311368
738;0;No;3612089;2623199
739;0;Si;2105835;6062948
740;0;No;3029081;4806579
741;1;Si;1396519;7521451
742;0;Si;2504049;3068282
743;0;Si;1340207;6166718
744;0;No;3696132;6106930
745;0;No;4625678;6085284
746;0;No;4320518;3143788
747;0;Si;1595794;4095487
748;0;Si;1271003;4217467
749;0;No;2914137;5867799
750;0;Si;1332960;5977951
751;0;No;1228813;6014416
752;0;No;2931697;124359
753;0;No;2948405;4266207
754;0;No;4022391;1993879
755;0;Si;1814989;7605862
756;0;Si;1594105;5801109
757;0;No;4994847;4928070
758;0;No;3821596;2919104
759;0;Si;1814830;3193460
760;0;;2538070;1924989
761;0;No;3155890;5253821
762;1;Si;1807749;9359692
763;0;No;3515774;3968809
764;0;Si;2179050;2958303
765;0;No;2400151;2097382
766;0;Si;1818548;2571419
767;0;No;2155161;5139475
768;0;Si;1597732;5148408
769;0;Si;1836307;4768132
770;0;Si;1157916;7316689
771;0;No;3469014;5862297
772;0;Si;1204882;2741364
773;0;No;4825010;8764419
774;0;Si;2390971;2779603
775;0;Si;1362157;7804659
776;0;Si;1688334;4199418
777;0;Si;1363491;5564090
778;0;No;4327806;6546269
779;0;No;4156047;4702954
780;0;;4119537;5096245
781;0;No;3290470;2168345
782;0;No;4205047;5075577
783;0;No;5276598;375888
784;0;No;3958562;5251582
785;0;No;3515517;244559
786;0;No;4823613;8608239
787;0;No;4870085;8036757
788;0;No;4391442;5902238
789;0;No;4087595;3049386
790;0;Si;1944097;5271001
791;0;Si;1907403;3969102
792;0;No;3002138;4398378
793;0;No;2915123;6188237
794;0;Si;1823446;7063822
795;0;Si;1302577;5873582
796;0;No;4432579;1816724
797;0;No;4492818;4597429
798;0;Si;2164866;5975298
799;0;Si;1572180;3970689
800;0;;3377683;50944
801;0;No;3108322;0
802;0;Si;1696762;2492530
803;0;Si;1845942;6135806
804;1;No;5339408;9513065
805;0;Si;1174238;5296023
806;0;Si;2117761;2251527
807;0;No;5500273;2092699
808;0;No;3293937;5352403
809;0;No;5664063;6533853
810;0;Si;843118;6576686
811;0;No;1914625;372667
812;0;No;3892712;330762
813;0;No;5421734;282104
814;0;No;2512386;5282984
815;0;No;5135537;1296188
816;0;Si;2350090;5718463
817;0;Si;1568207;0
818;0;No;3023972;4388970
819;0;No;4531556;4595388
820;0;;2721295;474662
821;0;No;2941315;1666871
822;0;No;3097120;989554
823;0;No;4104756;3124550
824;0;No;5440650;691261
825;0;No;4618555;3937759
826;0;No;3627133;5154638
827;0;No;3015921;5248738
828;0;No;3573899;0
829;0;Si;1846710;5650284
830;0;No;5130314;3977706
831;0;Si;1871061;7517981
832;0;No;4607166;2180675
833;0;No;3631444;4003528
834;1;Si;1658045;9405250
835;0;Si;1863262;7227290
836;0;No;2399440;5830501
837;0;No;3897003;818736
838;0;No;4635380;0
839;0;No;4781417;6610265
840;0;No;6152570;6417616
841;0;No;4305905;5004492
842;0;No;4760212;1249302
843;0;No;3899101;2501111
844;0;No;3637443;2840472
845;0;Si;1371428;5235426
846;0;Si;1597664;933342
847;0;No;3922441;3913892
848;0;No;1800783;1942742
849;0;Si;1727952;4212861
850;0;No;4419791;2780578
851;0;No;4811248;6172893
852;0;No;4212322;2064472
853;0;No;2926933;3416787
854;0;No;4810161;4361131
855;0;No;2474075;2078827
856;0;Si;1674044;7590094
857;0;No;4461215;1271972
858;0;No;2405752;7536246
859;0;No;4084869;4502838
860;0;No;4601195;2975726
861;0;Si;2108300;819699
862;0;No;4347267;1948066
863;0;Si;1483486;6674856
864;0;Si;1786410;9808643
865;0;No;3643968;5865807
866;0;No;2321808;5512091
867;0;No;4641182;6144540
868;1;No;2952575;7529157
869;0;Si;2116043;6088120
870;0;Si;1204289;4215795
871;0;No;5940393;5022665
872;0;No;5750011;1470315
873;0;No;2456957;2423617
874;0;No;3458625;3877781
875;0;Si;2103186;6696564
876;0;No;3915663;4009275
877;0;No;3757314;2759436
878;0;Si;2344006;2611906
879;0;Si;2066047;6187274
880;0;No;5756349;1600030
881;0;No;3009373;4803350
882;0;No;2977361;1360098
883;0;No;3378182;4635830
884;0;No;5518969;378976
885;0;No;3763595;6429257
886;0;No;3247804;7358875
887;0;Si;1448547;4040074
888;0;No;4290002;3736768
889;0;No;2386533;1638979
890;0;Si;1878658;4256709
891;0;No;2737030;554272
892;0;No;5732211;2708778
893;0;No;3626929;0
894;0;No;5174089;6006801
895;0;No;1898256;286099
896;0;Si;3294583;3925467
897;0;Si;1744518;1918198
898;0;No;5276506;5536521
899;0;No;5545463;1984930
900;0;No;4480738;0
901;0;No;4520739;4621208
902;0;No;3320253;3012469
903;0;Si;1796231;4143699
904;0;Si;2083734;8056
905;0;Si;1800233;4470029
906;0;No;3131337;6172382
907;0;No;4264224;2030070
908;0;Si;1237610;5259992
909;0;Si;1889023;5429190
910;0;No;4113313;8280866
911;0;Si;2042679;1213263
912;0;Si;1292771;3011532
913;0;No;5966100;937987
914;0;No;3449774;1656485
915;0;No;5713132;4556939
916;0;No;3976156;1957041
917;0;No;3395718;7251746
918;0;No;2896011;4099585
919;0;Si;1866641;7950882
920;0;Si;2249350;6283074
921;1;Si;2265211;9446661
922;0;No;1077497;3718427
923;0;No;2955591;1715972
924;0;No;4407933;2674866
925;0;No;3485754;6038490
926;0;No;3982942;2824069
927;0;Si;2293814;2476826
928;0;No;3864752;4512569
929;0;Si;1854405;8706367
930;0;No;5270011;5833213
931;0;Si;2324507;3155799
932;0;Si;1466838;5384890
933;1;No;3763435;6217770
934;0;No;3474776;10565095
935;0;No;4331328;6480305
936;0;No;4714773;5443370
937;0;No;4231352;4123659
938;0;No;3701118;3421474
939;0;No;2622152;186824
940;0;Si;1841457;4390745
941;0;No;4068346;4521208
942;0;Si;2218139;4710211
943;0;Si;1632336;4787463
944;0;No;1760664;1426454
945;0;Si;1984606;7341914
946;0;No;2766858;1613565
947;0;No;4087723;2070670
948;0;No;3681271;5525014
949;0;No;3193484;2229
950;0;No;1390218;3098507
951;0;No;5667680;1469347
952;0;Si;1970492;3186914
953;0;No;6932508;5547643
954;0;No;5290346;6115565
955;0;Si;1308166;5918465
956;0;No;5433522;2848954
957;0;No;4602649;3127660
958;0;No;1690878;4168276
959;0;No;4482727;4330230
960;0;Si;1727929;4727399
961;0;No;4390181;7774228
962;0;No;5192775;2878842
963;0;No;3872296;5708018
964;0;No;4537656;5733201
965;0;No;3430592;0
966;0;No;3545476;2173574
967;0;No;3913564;5130672
968;0;Si;2925236;6513986
969;0;No;5956191;3453529
970;0;No;4072764;2872258
971;0;No;4334662;0
972;0;Si;1305861;1256530
973;0;Si;1649071;6260570
974;0;No;5224931;1039476
975;1;No;4896535;8765422
976;0;Si;2110752;6399676
977;0;No;3646190;4314383
978;0;No;3339498;5717707
979;0;No;7123855;6265908
980;0;No;2555764;3120420
981;0;Si;1432209;5139305
982;1;No;5055353;9820073
983;0;No;3253965;3762131
984;0;No;3264014;4769649
985;0;No;6674943;3866021
986;0;No;5223809;2163955
