ESTADO,MESES,INGRESOS,CASA,PRECIO_DISPOSITIVO,PROMEDIO_DURACION_LLAMADA,SATISFACCION,SOBRECARGO,SALDO_RESTANTE,COMPARTIR,LON,LAT
RETIRADO,45,3294147,665000000,795158,2.7,6.020494468,263.7967775,16.2,NO,0,0
RETIRADO,7,660089,260000000,1827659,17.1,6.519859421,120.0497171,4.2,NO,0,0
VINCULADO,54,2362928,598000000,779090,2.8,5.440031626,0,25.8,SI,-74.1275655,4.556499247
RETIRADO,47,7757860,503000000,2001734,15.9,6.808562425,212.295364,55.7,NO,0,0
VINCULADO,50,6001474,1177000000,1150558,2.1,4.93594853,0,77.3,NO,0,0
RETIRADO,25,3503361,801000000,1048801,1.1,6.958615246,88.97214712,25.5,NO,0,0
VINCULADO,38,6537675,668000000,2492057,16.5,4.867597722,11.45777374,54.3,NO,0,0
RETIRADO,55,1409067,1105000000,644429,16.6,7.527947721,188.5926683,5.8,NO,0,0
VINCULADO,42,7523345,1727000000,2291403,16,5.083539178,0,54.9,NO,0,0
VINCULADO,38,7320612,1548000000,284060,18.2,4.779809579,31.60628342,92.6,NO,0,0
RETIRADO,37,7836527,488000000,3098366,1.1,6.680256279,248.9588357,71.3,NO,0,0
VINCULADO,23,1574004,623000000,2404374,17.5,4.633383263,9.93549376,23.4,NO,0,0
VINCULADO,51,3954326,947000000,1375598,2.3,5.661557063,63.42288378,25.9,NO,0,0
VINCULADO,11,7510188,576000000,818990,16.4,4.538152642,0,87.4,NO,0,0
RETIRADO,29,6850367,623000000,1542276,16.7,6.639601945,121.8747041,47.6,NO,0,0
RETIRADO,14,7178324,968000000,414357,15.9,6.493143926,252.3865219,82.1,NO,0,0
VINCULADO,19,1523990,233000000,1426341,15.6,4.648025951,13.76380006,13,NO,0,0
RETIRADO,20,992085,313000000,1479609,15.7,7.363133259,178.0742688,5.2,NO,0,0
VINCULADO,0,7659689,730000000,392474,3.7,4.419365199,0,61.6,NO,0,0
RETIRADO,7,3876596,973000000,901927,3.3,7.14241871,215.6085854,0,NO,0,0
RETIRADO,14,7832980,1799000000,353363,16,7.200907258,251.8287873,72.9,NO,0,0
RETIRADO,22,7047010,103000000,383579,14.7,7.159403116,236.7072728,75.1,NO,0,0
RETIRADO,15,8763522,794000000,902864,15,5.330573767,21.27787775,56.6,NO,0,0
RETIRADO,27,4036032,508000000,2750512,2.5,7.617037212,224.352073,25.6,NO,0,0
RETIRADO,18,796967,83000000,311671,15.2,7.079126782,164.5012273,15.1,NO,0,0
RETIRADO,48,7835561,1698000000,2092882,16.6,6.373395632,230.9099844,83.9,NO,0,0
VINCULADO,26,437843,826000000,1952485,17,4.59332101,0,20.2,NO,0,0
VINCULADO,17,7052549,489000000,409953,3.7,4.528682546,11.19636349,55.4,NO,0,0
RETIRADO,27,951739,212000000,379677,15.4,6.022266246,194.8731846,11.1,NO,0,0
VINCULADO,19,4028362,696000000,2206525,0.7,4.32152276,12.22607899,0,NO,0,0
VINCULADO,16,3644111,525000000,1869360,2.1,4.134351944,37.08430016,35.2,NO,0,0
RETIRADO,10,7519976,427000000,1386760,15.8,7.213332005,201.5229563,96,NO,0,0
VINCULADO,0,7390665,831000000,1156367,15.9,4.322411008,36.60118149,71.5,NO,0,0
VINCULADO,39,7976212,127000000,518050,15.2,4.901845661,65.11681214,70.8,NO,0,0
VINCULADO,55,4016180,1003000000,1882390,4.4,4.510371033,0,22.6,NO,0,0
RETIRADO,10,1680459,351000000,824000,15.7,6.809565216,191.2478205,16.9,NO,0,0
VINCULADO,23,150000,84000000,1055653,15.7,4.018367396,0,0,NO,0,0
RETIRADO,32,1461310,327000000,1963727,16.2,6.413308733,189.7131534,14.7,NO,0,0
VINCULADO,43,7176247,283000000,1552211,14.4,4.910372409,0,75,NO,0,0
RETIRADO,24,1652544,630000000,2512590,16.5,6.505056059,187.3238217,25.5,NO,0,0
RETIRADO,0,690476,1047000000,1117840,16.1,6.384082264,236.9310389,9.1,NO,0,0
VINCULADO,0,3406580,691000000,417804,2.5,3.863869818,18.10732574,10.1,NO,0,0
RETIRADO,0,1784121,511000000,431534,17.6,6.880463938,211.8952429,5,NO,0,0
VINCULADO,31,403041,241000000,1672362,15.4,4.498620347,0,12.4,NO,0,0
RETIRADO,35,4642149,215000000,982323,1.8,6.419478551,181.1039431,15.7,NO,0,0
VINCULADO,19,7967191,904000000,883531,16.4,4.875403006,27.6585682,85.9,NO,0,0
RETIRADO,12,3878969,817000000,2434232,1.7,7.078061181,233.5590672,13.2,NO,0,0
RETIRADO,14,7320406,942000000,1974112,1.9,6.743673437,126.6882397,57.8,NO,0,0
RETIRADO,25,7025956,236000000,1025119,15.6,6.68707589,274.6934195,61.2,NO,0,0
RETIRADO,0,150000,554000000,1197581,15.4,7.210229526,170.2112684,5.4,NO,0,0
RETIRADO,35,678834,693000000,1090625,17,7.066174224,175.2268276,11.4,NO,0,0
VINCULADO,26,1590316,700000000,1907575,15.2,5.486038855,2.55849464,14.6,NO,0,0
VINCULADO,45,888102,272000000,416792,16,4.367906931,27.53261766,12.4,SI,-74.17075178,4.652005319
RETIRADO,5,7081350,1459000000,449524,16.4,6.39528283,169.0634772,77.4,NO,0,0
RETIRADO,37,1456975,555000000,1391755,17.6,7.336224139,223.4038073,14.4,NO,0,0
RETIRADO,11,7581811,1149000000,1199532,1.5,6.793585022,246.8712548,55.8,NO,0,0
VINCULADO,43,7537016,360000000,530164,13.1,4.204092883,0,58.4,NO,0,0
RETIRADO,6,3457415,85000000,814502,2.5,6.514070965,187.0690154,8.6,NO,0,0
RETIRADO,53,1255257,985000000,502674,15.9,7.046911969,161.065828,16.2,NO,0,0
RETIRADO,33,7011576,1366000000,657382,14,6.43454064,238.6988282,74.7,NO,0,0
VINCULADO,12,7319634,1599000000,1259835,2,3.208224373,0,72.7,NO,0,0
VINCULADO,24,8252185,1526000000,519598,2,5.077396679,34.20046977,94.8,NO,0,0
RETIRADO,0,2646068,1000000000,409741,1.5,6.677956577,298.4636976,21.6,NO,0,0
VINCULADO,54,3814388,264000000,2276844,2,5.353364939,38.84917763,11.5,NO,0,0
RETIRADO,34,7132447,1002000000,1622589,0.9,6.711386566,267.0491315,78.4,NO,0,0
VINCULADO,22,6843658,559000000,1203145,15.3,4.968871671,22.88846455,16.2,NO,0,0
RETIRADO,37,7659140,854000000,2944507,18.4,6.663270217,287.7229358,80.8,NO,0,0
RETIRADO,23,1441838,418000000,1544962,16.3,7.103018147,296.2977237,8.2,NO,0,0
RETIRADO,16,7409416,857000000,1140886,2.3,7.07341125,161.2654857,83.4,NO,0,0
RETIRADO,25,7713870,560000000,3025977,16.1,6.994266027,255.6262092,60.2,NO,0,0
RETIRADO,30,6365225,631000000,628725,16.6,7.187087066,240.8487466,42.7,NO,0,0
VINCULADO,3,7858989,1764000000,1550312,17,5.407314322,50.78910573,63.5,NO,0,0
RETIRADO,52,7636355,1799000000,2136778,14.5,6.849613079,141.9866356,82.9,NO,0,0
VINCULADO,0,6990370,1506000000,1269692,2.4,4.509733899,7.098516336,67.5,NO,0,0
RETIRADO,23,753292,796000000,1623698,16,6.835069558,192.4840809,15.7,SI,-74.12478607,4.687218732
VINCULADO,48,2587093,140000000,358106,1.9,3.729711009,27.25102747,15,NO,0,0
RETIRADO,0,773055,693000000,1604367,16.7,6.765050825,288.7408485,12.1,NO,0,0
VINCULADO,33,8125155,1725000000,944843,0.9,6.794129214,150.3762327,69.4,NO,0,0
RETIRADO,10,8691926,1978000000,1100248,15.1,6.789949693,259.3818956,51.1,NO,0,0
RETIRADO,24,6968461,725000000,828127,15.7,4.481870474,0,80.8,NO,0,0
VINCULADO,36,3264231,761000000,393520,3.1,4.097650169,0,10.3,NO,0,0
RETIRADO,36,6860005,201000000,2632181,16.4,6.734261152,33.42886948,72.4,NO,0,0
VINCULADO,35,6911383,462000000,1464308,16.4,4.642908639,41.13704479,58.9,NO,0,0
RETIRADO,14,3488400,585000000,2268150,1.3,6.673457453,252.5766312,23.3,NO,0,0
RETIRADO,50,6498680,1569000000,1157466,2,6.745964711,325.8479319,73.2,NO,0,0
RETIRADO,43,3306767,784000000,384574,1.9,6.465163923,86.46345979,27.1,SI,-74.09551908,4.661478946
VINCULADO,22,2909966,84000000,2578294,0,5.215455083,27.15341234,4.9,NO,0,0
RETIRADO,24,1199998,711000000,1043321,17.6,6.94198527,181.405741,3.3,NO,0,0
VINCULADO,43,7697177,426000000,623986,16.1,4.678137663,15.27397644,67.3,NO,0,0
VINCULADO,19,1324899,545000000,412080,16.7,4.823705642,39.98932824,27,NO,0,0
RETIRADO,5,7770655,450000000,298211,17.1,6.413961435,163.1792393,82.3,NO,0,0
VINCULADO,46,3194502,717000000,1273049,2.6,4.879874421,81.95242128,10.7,NO,0,0
RETIRADO,25,3454739,605000000,1007057,0,6.415511425,77.16281492,9.2,NO,0,0
RETIRADO,4,2760854,85000000,319314,3.3,6.45382334,279.4353889,37.7,SI,-74.13352403,4.67478489
VINCULADO,23,7200011,86000000,1806408,2.3,4.684522345,0,59.7,NO,0,0
VINCULADO,26,6712999,459000000,2208386,1.4,4.773901648,0,87.7,NO,0,0
RETIRADO,31,7642015,84000000,1821848,15.3,7.108658438,174.6987169,48,NO,0,0
VINCULADO,30,866070,651000000,1087270,16.6,6.746940368,143.7259017,3.3,NO,0,0
RETIRADO,11,6495878,366000000,1532560,15.4,6.410425692,183.3659183,60.4,NO,0,0
RETIRADO,33,3418205,355000000,1631237,1.7,6.78278361,103.9947861,19.8,NO,0,0
VINCULADO,36,6028735,980000000,1858769,2,4.268976553,0,71.7,NO,0,0
VINCULADO,24,7556310,84000000,401003,16.1,5.325792721,19.70641857,92.4,NO,0,0
RETIRADO,7,7339712,386000000,2510132,15.9,6.992492799,204.583924,71.8,NO,0,0
VINCULADO,13,500452,112000000,1221589,18.7,4.559991613,0,0,NO,0,0
RETIRADO,32,7737951,85000000,2650299,4,6.508078484,216.1339032,64.7,NO,0,0
VINCULADO,0,6549784,921000000,1213649,16.2,4.532845739,0,63.8,NO,0,0
RETIRADO,35,1120732,741000000,547889,16.8,6.497093036,221.9706069,24.6,NO,0,0
RETIRADO,29,1049623,853000000,329314,15.8,6.554609334,193.1879046,12.9,NO,0,0
RETIRADO,53,6814896,451000000,1581580,17.5,7.108703925,164.8649678,91.5,NO,0,0
VINCULADO,25,1740282,382000000,268350,15.6,5.125431411,0,27.3,NO,0,0
RETIRADO,0,1904106,1060000000,1386813,16.4,6.892830507,285.1536697,10.3,NO,0,0
VINCULADO,31,7177539,766000000,1813713,15.8,4.958508385,31.60160809,79.3,NO,0,0
RETIRADO,19,7524162,84000000,1751916,14.5,6.913968455,252.9369205,77,NO,0,0
RETIRADO,33,3580672,779000000,593604,1.9,6.757995975,306.6254039,19.9,NO,0,0
RETIRADO,35,4126736,328000000,844142,3,6.665781711,195.9448326,21.4,NO,0,0
VINCULADO,17,1777968,462000000,1303819,17,4.966261939,2.841934567,11.5,NO,0,0
RETIRADO,24,6901740,599000000,1382383,14.9,6.607566763,180.3238421,48.1,NO,0,0
VINCULADO,33,460845,107000000,2794098,15.8,5.317088499,3.597214806,13,NO,0,0
RETIRADO,33,976482,202000000,1224664,15.7,6.092432052,167.485019,15.6,NO,0,0
RETIRADO,37,2352960,555000000,1829111,1.3,6.733845294,30.73144924,0,NO,0,0
VINCULADO,3,814964,1010000000,337688,14.9,5.068512625,0,8.1,NO,0,0
VINCULADO,36,7666686,1703000000,2379922,16.3,4.791522575,0.310667624,87.3,NO,0,0
VINCULADO,15,7402449,84000000,1370861,16.2,6.431654963,209.2746377,64.6,NO,0,0
VINCULADO,14,1025206,798000000,1309158,14.1,4.632527606,0,13.8,NO,0,0
RETIRADO,18,1728622,389000000,1543090,15.6,7.357664377,108.3272942,15.9,NO,0,0
VINCULADO,27,6137099,377000000,1063720,16,4.494794515,0,54.9,NO,0,0
VINCULADO,9,6656621,543000000,1960338,14.7,4.906774679,31.74158575,75.7,NO,0,0
RETIRADO,36,482010,977000000,1119735,14.7,7.424697007,208.2371938,31.1,NO,0,0
RETIRADO,3,7221115,512000000,1479940,14.6,6.781854188,245.0655032,53.6,NO,0,0
VINCULADO,18,6802955,684000000,2995515,16.2,7.278554542,93.8514892,38,NO,0,0
VINCULADO,44,3123697,746000000,1071926,1.3,4.634921933,23.69642577,19.5,SI,-74.13335757,4.690726335
VINCULADO,0,5774341,814000000,1716451,17.6,5.454170455,39.76950193,62.1,NO,0,0
RETIRADO,22,7878207,1018000000,941200,16.8,6.720700815,142.9344837,61.4,NO,0,0
VINCULADO,40,1808328,374000000,423717,16.7,5.530637616,50.46184541,10.5,NO,0,0
VINCULADO,13,7122301,799000000,1760196,15.1,6.891928981,224.2281729,59.2,NO,0,0
VINCULADO,13,2141801,576000000,2560804,15.8,3.770676803,35.88178594,6.1,NO,0,0
VINCULADO,18,6965849,659000000,1110663,15.6,4.813917295,24.42576162,92.3,NO,0,0
VINCULADO,5,1060030,237000000,521720,14.8,4.989017285,15.99119687,31.8,NO,0,0
VINCULADO,35,2603225,309000000,567284,0.8,4.923865589,0,12.3,NO,0,0
RETIRADO,9,7363708,444000000,1461696,15.6,6.792990214,152.8239059,50,NO,0,0
VINCULADO,20,7738098,1684000000,460242,16.4,4.356048215,0,60.7,NO,0,0
VINCULADO,0,8163095,929000000,522399,15.6,4.691492811,20.85243814,37.8,NO,0,0
RETIRADO,17,1254914,274000000,471106,16.1,7.522812397,295.6513035,26,NO,0,0
RETIRADO,5,640475,474000000,326086,15.4,7.023653198,235.0016741,17.6,NO,0,0
RETIRADO,30,1415390,92000000,752186,15.7,4.382970714,27.52499368,21,NO,0,0
VINCULADO,37,7628305,1733000000,1782563,15.1,4.266478719,32.89994317,57.9,NO,0,0
VINCULADO,0,7053240,1589000000,723433,4,4.885043663,5.974033251,72,NO,0,0
VINCULADO,30,7647109,1730000000,2188015,17.1,5.462499627,11.15146299,73.7,NO,0,0
VINCULADO,15,6751617,613000000,1526298,16.6,5.054483241,19.28483926,73.6,NO,0,0
RETIRADO,15,7814631,82000000,499554,16.1,6.847264351,197.7604486,59.7,NO,0,0
VINCULADO,19,3167154,766000000,1454406,2.2,4.345406273,0,33,NO,0,0
RETIRADO,27,7674137,1831000000,365782,15.6,7.244397339,242.0222316,45.1,SI,-74.0916687,4.739685942
VINCULADO,53,1618228,349000000,2033193,14.8,4.978059516,40.42913053,29.4,NO,0,0
VINCULADO,34,3246486,237000000,1025537,0,4.665987516,19.01523069,8.4,SI,-74.1584549,4.56523921
VINCULADO,11,4656390,490000000,2468132,1,4.643926999,0,20.5,NO,0,0
VINCULADO,34,775752,159000000,2264149,16.3,5.351717095,45.89864095,0,NO,0,0
RETIRADO,43,1226952,245000000,1813233,17.1,7.23959451,245.2475789,4.9,SI,-74.17885872,4.574995555
VINCULADO,24,7371948,188000000,1693739,3.5,4.688300539,0,69.1,NO,0,0
RETIRADO,29,7171003,1585000000,1101454,14.5,6.256869353,189.4099408,88.4,NO,0,0
VINCULADO,20,6798368,770000000,1783947,2.5,4.614086578,0,49.4,NO,0,0
VINCULADO,16,7888404,604000000,2173916,16.3,4.06683445,0,79.9,NO,0,0
VINCULADO,29,698786,148000000,1116956,16,4.320404902,13.24941104,36.7,NO,0,0
VINCULADO,13,7081627,309000000,2001531,16.2,4.82368689,69.69931618,48.3,NO,0,0
RETIRADO,54,1814455,368000000,1165288,16.3,7.238395784,172.8724756,34.8,NO,0,0
VINCULADO,6,7253390,149000000,791078,4.1,5.305884468,24.24916741,58.4,NO,0,0
VINCULADO,31,7167261,1619000000,2176642,15.9,4.684453174,0,73.6,NO,0,0
RETIRADO,11,7128282,483000000,878426,18.1,6.700004533,53.18338081,67.8,NO,0,0
RETIRADO,29,2069983,418000000,391999,15.8,4.786594507,29.58896928,18.2,NO,0,0
RETIRADO,16,4435454,677000000,300665,3.7,7.446290423,205.7611538,35.4,NO,0,0
RETIRADO,0,3408202,180000000,1655238,1.7,6.988995051,217.0144588,26.9,NO,0,0
VINCULADO,30,839184,261000000,863257,17.2,4.698570561,63.95960355,11.9,NO,0,0
RETIRADO,18,2761553,1155000000,3169383,1.3,6.887036868,189.5773111,17.4,SI,-74.08378061,4.651768078
RETIRADO,20,7546004,530000000,2090174,3.8,6.445237679,66.83473928,98.1,NO,0,0
VINCULADO,16,4040591,495000000,350353,2.2,4.154791551,17.09023833,7.2,NO,0,0
RETIRADO,13,7614644,830000000,351740,15.8,4.72304679,11.14906576,63.1,NO,0,0
RETIRADO,34,7723325,1687000000,1690371,16.2,7.016720638,252.681267,33.3,NO,0,0
RETIRADO,19,7419360,424000000,3900085,14.8,6.669416076,106.4263971,59.3,NO,0,0
VINCULADO,0,8108065,492000000,1555042,3.8,4.848595381,0,59.7,NO,0,0
VINCULADO,38,4156413,960000000,1600210,1.5,4.768942167,11.5826467,14.9,NO,0,0
VINCULADO,16,6316996,605000000,2786579,1.7,4.657454673,14.42585375,79.8,NO,0,0
RETIRADO,11,4480350,539000000,1541184,1,6.471725553,235.9380104,19.8,NO,0,0
VINCULADO,21,7259612,1769000000,1679516,2.2,4.160245846,51.16076038,65.6,NO,0,0
RETIRADO,23,1221121,546000000,2590269,15.8,4.302199753,9.421769599,0,NO,0,0
RETIRADO,9,560082,1214000000,2725189,18.4,6.804914962,135.4797825,8.6,NO,0,0
VINCULADO,9,1225065,276000000,1325859,14.7,4.657784536,4.828367262,0,NO,0,0
RETIRADO,0,1419963,334000000,1079202,14.4,6.916381671,219.8564038,10.8,NO,0,0
RETIRADO,31,4130172,865000000,317581,3.5,6.727435804,219.3064235,8.5,NO,0,0
RETIRADO,25,3457300,613000000,411343,0.9,6.929500016,213.3900485,26,NO,0,0
VINCULADO,25,602786,1429000000,1057696,16.9,4.490956666,54.74454872,23,NO,0,0
VINCULADO,5,3490273,928000000,845959,2.5,4.290709864,8.922884784,18.8,NO,0,0
RETIRADO,36,6745177,578000000,1504125,2.4,6.204386199,121.32998,37.7,NO,0,0
VINCULADO,19,6490591,84000000,1659753,16.1,5.412150932,12.56465671,78.1,NO,0,0
RETIRADO,0,3176342,84000000,345331,2.8,6.369535124,195.9263777,16.2,NO,0,0
VINCULADO,22,7171573,604000000,1634653,1.9,3.39805832,0,70.7,NO,0,0
VINCULADO,40,3582523,722000000,839669,4.1,4.745091364,60.89940544,14.3,SI,-74.11994788,4.554694907
VINCULADO,4,6894952,1495000000,1166016,2.4,5.360479618,8.67389217,67.9,NO,0,0
VINCULADO,5,3369480,1131000000,458995,4.7,6.384116529,113.7424428,14.5,NO,0,0
VINCULADO,14,756740,759000000,521954,17.1,5.496414158,0,27.7,NO,0,0
VINCULADO,37,425986,790000000,999679,18.7,5.159315223,45.77420266,10.4,NO,0,0
RETIRADO,2,3593914,689000000,1343637,0.4,6.26631172,181.257977,14,NO,0,0
VINCULADO,31,7433217,485000000,475358,14.7,4.830935355,47.16545531,49,NO,0,0
RETIRADO,12,6389783,479000000,1078036,17.4,6.750868862,192.2286906,39.5,NO,0,0
VINCULADO,31,150000,387000000,1355690,17.3,4.045926243,0,23.1,NO,0,0
RETIRADO,0,7157604,627000000,1732434,1.3,6.650367563,215.9899047,89.2,NO,0,0
RETIRADO,9,4397071,493000000,638687,2.5,7.110907422,206.530788,15.5,NO,0,0
VINCULADO,30,7435820,1752000000,778209,0.5,5.3163628,49.83823437,90.2,NO,0,0
VINCULADO,12,3436103,922000000,1413408,0.9,4.744264788,34.40696042,14.8,NO,0,0
RETIRADO,30,943981,180000000,535685,16.4,6.646761573,167.793248,17.1,NO,0,0
RETIRADO,15,7343190,1699000000,503173,18,7.206270595,201.3018881,65.5,NO,0,0
VINCULADO,27,2700037,552000000,1021660,1.3,4.668541534,39.99534017,25.7,NO,0,0
VINCULADO,34,7700681,511000000,1179766,2.6,4.720565449,19.41261085,79.8,NO,0,0
VINCULADO,16,3037281,641000000,1099960,2.6,4.772292352,0,19.8,SI,-74.1950347,4.628246549
VINCULADO,20,1405579,468000000,1314343,16.9,4.697260465,0,29.7,SI,-74.19473817,4.633676067
VINCULADO,0,3283476,420000000,818781,1.2,4.063529795,0,20.7,NO,0,0
RETIRADO,5,7412460,557000000,385461,1.5,6.406551278,174.226214,61.6,NO,0,0
RETIRADO,16,6846667,611000000,1176578,4.1,7.65713345,244.5307921,64.3,NO,0,0
VINCULADO,23,6859606,588000000,355886,16.4,4.324772689,0,69.3,NO,0,0
RETIRADO,34,2843665,314000000,2136793,1,5.112051806,34.0711728,4,NO,0,0
RETIRADO,5,1899885,751000000,604226,15.8,6.342791495,179.9944082,19.9,SI,-74.1249528,4.741112467
RETIRADO,37,7194206,425000000,2158469,16.8,6.549385213,267.4871347,69.1,NO,0,0
VINCULADO,21,3295578,816000000,887190,1.6,5.316494081,45.15012383,5.1,NO,0,0
VINCULADO,26,1011469,248000000,394890,15.3,5.962593725,34.34635037,25.9,NO,0,0
VINCULADO,31,6630441,1421000000,3408798,14.8,7.491852288,180.4924337,63.2,NO,0,0
RETIRADO,43,6801832,540000000,399625,15.9,6.90949283,194.0000462,31.1,NO,0,0
RETIRADO,25,7141504,1481000000,2312861,15.5,6.219852487,210.8274016,78.9,NO,0,0
VINCULADO,30,3401139,614000000,1621818,3.5,3.913966492,39.30340983,17,NO,0,0
RETIRADO,16,6296609,308000000,2325264,17,7.236495265,188.5568634,62.6,NO,0,0
RETIRADO,0,8323441,473000000,788474,17.5,6.15735204,217.2951488,47.7,NO,0,0
VINCULADO,25,7647717,1010000000,697734,16.8,4.529135169,25.91956868,60.2,NO,0,0
VINCULADO,21,8167579,1948000000,393998,2,4.757289818,24.48837221,95.2,NO,0,0
VINCULADO,47,2523530,577000000,2513768,2.9,4.905120175,0,7.4,NO,0,0
RETIRADO,3,2917976,283000000,824481,3.3,6.037219537,382.9433575,18.5,NO,0,0
VINCULADO,27,7731424,399000000,493718,0.6,6.804736446,177.1776172,59.3,NO,0,0
VINCULADO,35,1380115,527000000,471993,17,6.785830181,38.84482895,3.3,NO,0,0
RETIRADO,36,8047035,430000000,1752843,13.1,6.632161755,176.6950038,74.4,NO,0,0
RETIRADO,12,7436012,277000000,1221674,1.2,6.868538659,256.9530305,67.4,NO,0,0
RETIRADO,34,7529186,751000000,1941378,15,6.931397318,200.1365845,71.8,NO,0,0
VINCULADO,27,4042786,1025000000,884701,1.3,4.803590034,48.14525606,7.2,NO,0,0
VINCULADO,18,7418568,314000000,2347906,1.9,6.849559628,227.2668943,79,NO,0,0
RETIRADO,48,2865342,444000000,723521,1.9,6.742485775,348.0362725,15.8,NO,0,0
RETIRADO,16,7469019,1831000000,2215488,16.7,7.146411652,154.3046863,100.3,NO,0,0
VINCULADO,42,1271012,1281000000,1097092,16.6,4.274279349,66.92490353,27.6,NO,0,0
RETIRADO,25,3227540,407000000,773305,3,6.438641621,253.7680753,1.1,NO,0,0
VINCULADO,35,7770276,411000000,381282,2.2,4.624652958,10.79138008,49.2,NO,0,0
RETIRADO,12,7605760,568000000,1387234,1.4,4.792693629,35.27960859,39.4,NO,0,0
VINCULADO,0,2837253,685000000,3094309,2.6,5.059900627,65.18508062,30.5,NO,0,0
RETIRADO,22,2120877,82000000,1367476,16.6,6.804304036,218.805805,19.3,NO,0,0
RETIRADO,41,6944752,572000000,710699,3.3,6.784428029,101.3675134,68.5,NO,0,0
RETIRADO,10,7079648,1076000000,1498996,15.2,7.171480024,291.7233783,71.9,NO,0,0
RETIRADO,4,3366992,529000000,363641,2,6.7502435,316.6642613,4.9,NO,0,0
VINCULADO,16,7150071,1475000000,2278460,15.7,5.374641781,9.496005156,61,NO,0,0
VINCULADO,20,8285927,1799000000,1496933,1.3,4.059122618,0,102.3,NO,0,0
RETIRADO,60,3499394,816000000,1149506,2.2,7.002669298,222.0208777,21.9,NO,0,0
VINCULADO,20,797291,606000000,1855901,16.3,4.369900872,0,15.7,NO,0,0
VINCULADO,13,7243203,126000000,1590288,2.4,5.014022283,0,79.8,NO,0,0
RETIRADO,22,3113422,972000000,1714834,2.3,6.792617575,267.3287146,12.8,NO,0,0
VINCULADO,24,150000,83000000,2961386,16.9,4.786985909,43.88848497,26.8,NO,0,0
VINCULADO,33,7926949,1903000000,977319,0,4.941750328,45.76898425,103.9,NO,0,0
VINCULADO,18,695909,818000000,743517,14.6,4.439930323,0,33.3,NO,0,0
VINCULADO,12,7925242,680000000,2361103,17.8,3.591803995,67.64041089,79.2,NO,0,0
RETIRADO,0,946359,187000000,627331,16.7,4.955841431,58.1966852,29.8,NO,0,0
VINCULADO,32,973398,692000000,2001688,17.9,4.210208844,59.30838103,23.1,NO,0,0
RETIRADO,4,7147938,623000000,2112939,18.6,6.331341679,154.178605,84.5,NO,0,0
VINCULADO,24,1862193,379000000,1652079,17,4.555548127,0,19.5,NO,0,0
VINCULADO,13,8503026,1729000000,1355817,2.2,4.799136966,18.24382506,79.3,NO,0,0
VINCULADO,29,3477939,813000000,1440336,0.8,4.388631032,0,7.9,NO,0,0
RETIRADO,31,7519415,1636000000,853492,2.2,6.895905561,299.3624373,86,NO,0,0
RETIRADO,30,6345060,1525000000,1072194,2.4,5.119008661,58.437493,54,NO,0,0
RETIRADO,27,3395152,542000000,927905,2.5,7.01778872,255.0621579,0,NO,0,0
VINCULADO,32,7852325,456000000,1393392,13.9,5.178426614,27.29849413,42.4,NO,0,0
VINCULADO,16,6993067,1583000000,1588414,15.9,5.19618802,6.24781302,40.8,NO,0,0
RETIRADO,33,612564,565000000,1681050,15.5,6.887251285,284.4709568,0,SI,-74.15017377,4.617377771
